,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf
DCG@3,0.10925698425849921,0.10068281524922838,0.10397054562381816,0.10279183075528336,0.11117279306749028,0.11340765639620543,0.11388690119729951,0.11658570656944502,0.11223096483820655,0.10490220012980457
Recall@3,0.11793377120963328,0.10756020799124247,0.11441844553913519,0.10925561029009305,0.11954707170224413,0.12204707170224412,0.12717706622879035,0.1240024630541872,0.12347427476737823,0.11304871373836892
MAP@3,0.09513341543513958,0.08904305783616127,0.08961343732895456,0.08784300310162378,0.09721355592045247,0.09732370917715745,0.09336138478379857,0.10326491516146688,0.09229748221127532,0.09018336070060208
DCG@5,0.13404426617498744,0.12285350895579424,0.12380346831447647,0.12552440549214855,0.1317723457511245,0.13375166381211104,0.13352009163171732,0.1395767611244021,0.1283946056062648,0.12774016688476905
Recall@5,0.17147783251231527,0.156663929939792,0.15699781061850027,0.15784619594964422,0.16370826491516144,0.1648440065681445,0.1688902572523262,0.17366721401204158,0.15821839080459768,0.16201286261631087
MAP@5,0.1111549671592775,0.10250104907863529,0.10229761904761905,0.10279483670862981,0.11048804962598066,0.11024899653347929,0.10532922824302135,0.11810591133004925,0.10401368363437329,0.10513868363437329
DCG@8,0.15436734409719097,0.14908283981320253,0.14663540451004245,0.1516667708434352,0.14780160649813562,0.16206378906822258,0.15311309032228357,0.1624354498710285,0.15394983918318456,0.15166131438222677
Recall@8,0.2276012588943623,0.2288998357963875,0.22016694033935413,0.23141351943076077,0.2090325670498084,0.24327175697865352,0.22266420361247946,0.2366256157635468,0.2294198139025725,0.22883141762452108
MAP@8,0.12531267430343787,0.11972395548257618,0.1162359645007428,0.12100752599890531,0.12174792139077853,0.1274976167670133,0.1182347769567597,0.13333579638752052,0.12131569447702453,0.11951716970313028
