,ngcf_bpr,ngcf_bpr,ngcf_bpr,ngcf_bpr,ngcf_bpr,ngcf_bpr,ngcf_bpr,ngcf_bpr,ngcf_bpr,ngcf_bpr
DCG@3,0.12494392163948617,0.12471808372415333,0.12123074350872391,0.12852216008841164,0.11057032633550377,0.13017128031256459,0.12083420870007013,0.12801050101787265,0.11513595360038507,0.11841000104744867
Recall@3,0.13889162561576354,0.13403119868637112,0.128431855500821,0.1374110563765736,0.1183456486042693,0.14387657361795295,0.13020388615216202,0.13884373289545704,0.12714285714285714,0.12706759715380406
MAP@3,0.10302818828680896,0.10329570333880678,0.1078906677613574,0.1051347837985769,0.09914408866995075,0.10780582922824301,0.10265690567414705,0.11353220215289181,0.10345853858784892,0.10474639664294837
DCG@5,0.14905840770630588,0.14883209921359533,0.1392445091589404,0.14600364320520307,0.1412389111025126,0.1430520528533428,0.14173435275094134,0.14879253076523405,0.13045240607533495,0.13648917729740206
Recall@5,0.18911056376573618,0.18529967159277505,0.1666830870279146,0.17615626710454294,0.1823248494800219,0.1724110563765736,0.1741256157635468,0.1840777230432403,0.16032293377120962,0.16635878489326766
MAP@5,0.12001019430760806,0.11999131089217294,0.120390873015873,0.11574924740010947,0.11727887246852764,0.11692651888341545,0.11880797299762816,0.1269936143039591,0.1136845922276957,0.11753375296478745
DCG@8,0.16317700000603497,0.16489968217215348,0.16146181956149513,0.16547033411457923,0.16055485036602327,0.16207439235833795,0.15933000509937373,0.16656466482029128,0.1549506294789539,0.15334839599137814
Recall@8,0.22837712096332782,0.22935002736726876,0.2284674329501916,0.2307183908045977,0.23599753694581282,0.2243103448275862,0.2234783798576902,0.23378899835796388,0.22816228790366722,0.21293240284619597
MAP@8,0.12970749276722185,0.12975940586962753,0.13452834792920998,0.1297179411994683,0.1310450647692027,0.1292621360804858,0.13026596424010217,0.13865159837881513,0.12976115216201423,0.12750768889931452
